"",station,X,Y
729,OMV.BCB,-3.503,2.507
730,OMV.BCC,-8.541,-0.347
731,OMV.BCD,3.661,-4.453
732,OMV.BCE,3.938,5.57
733,OMV.BCF,-3.76,-5.214
734,OMV.BCG,4.298,-1.352
735,OMV.BCH,-0.724,-4.439
736,OMV.BCI,-6.665,-2.597
737,OMV.BCJ,2.244,-3.853
738,OMV.BCK,-4.063,-1.797
739,OMV.BCL,-1.557,-1.874
740,OMV.BCM,-6.199,1.299
741,OMV.BCN,1.198,1.617
742,OMV.BCO,2.909,2.24
743,OMV.BCP,-4.446,-3.644
744,OMV.BCQ,-3.141,-3.262
745,OMV.BCR,5.721,2.217
746,OMV.BCS,-4.869,-3.179
747,OMV.BCT,-4.672,-1.675
748,OMV.BCU,-8.122,1.261
749,OMV.BCV,-0.345,5.676
750,OMV.BCW,2.954,1.519
751,OMV.BCX,-3.983,4.638
752,OMV.BCY,2.255,3.087
753,OMV.BCZ,-2.024,6.043
754,OMV.BDA,-5.561,0.002
755,OMV.BDB,-2.595,-1.264
756,OMV.BDC,-1.817,1.527
757,OMV.BDD,5.451,0.522
758,OMV.BDE,-2.237,0.148
759,OMV.BDF,-8.74,-3.471
760,OMV.BDG,-2.106,0.766
761,OMV.BDH,-7.629,0.049
762,OMV.BDI,7.096,2.316
763,OMV.BDJ,-0.564,-4.07
764,OMV.BDK,3.021,2.406
765,OMV.BDL,-6.425,1.662
766,OMV.BDM,5.885,0.964
767,OMV.BDN,5.081,-1.809
768,OMV.BDO,6.171,3.806
769,OMV.BDP,-0.569,-6.845
770,OMV.BDQ,-4.437,-3.886
771,OMV.BDR,0.441,5.531
772,OMV.BDS,-2.787,0.006
773,OMV.BDT,-4.236,1.082
774,OMV.BDU,-2.691,1.339
775,OMV.BDV,-2.882,3.071
776,OMV.BDW,-3.064,2.714
777,OMV.BDX,-3.667,4.455
778,OMV.BDY,-5.042,-3.079
779,OMV.BDZ,-6.872,-4.327
780,OMV.BEA,-0.185,4.505
781,OMV.BEB,-2.421,-6.245
782,OMV.BEC,-3.775,-4.511
783,OMV.BED,0.917,-2.387
784,OMV.BEE,5.561,2.08
785,OMV.BEF,-5.346,-4.985
786,OMV.BEG,-5.433,0.618
787,OMV.BEH,6.553,2.89
788,OMV.BEI,5.912,-1.369
789,OMV.BEJ,1.456,-0.385
790,OMV.BEK,3.616,0.205
791,OMV.BEL,1.174,4.876
792,OMV.BEM,2.688,-3.189
793,OMV.BEN,-4.37,0.465
794,OMV.BEO,-1.201,-4.392
795,OMV.BEP,-4.739,-2.56
796,OMV.BEQ,-0.242,3.153
797,OMV.BER,-2.818,0.255
798,OMV.BES,-1.604,4.41
799,OMV.BET,-3.861,-5.85
800,OMV.BEU,6.81,2.97
801,OMV.BEV,0.544,2.926
802,OMV.BEW,-7.372,-4.266
803,OMV.BEX,-1.026,-3.337
804,OMV.BEY,-5.4,-5.187
805,OMV.BEZ,-0.88,4.914
806,OMV.BFA,-7.247,1.909
807,OMV.BFB,-8.898,-4.537
808,OMV.BFC,2.474,5.042
809,OMV.BFD,7.978,2.056
810,OMV.BFE,0.025,-2.329
811,OMV.BFF,-3.457,-6.782
812,OMV.BFG,0.427,-0.017
813,OMV.BFH,-9.135,-4.63
814,OMV.BFI,-2.622,1.514
815,OMV.BFJ,-1.987,-4.167
816,OMV.BFK,4.227,-2.237
817,OMV.BFL,-4.647,-4.703
818,OMV.BFM,-1.414,0.363
819,OMV.BFN,-8.438,-2.953
820,OMV.BFO,-1.204,-6.706
821,OMV.BFP,-1.703,-2.247
822,OMV.BFQ,5.598,-1.179
823,OMV.BFR,-5.321,-3.379
824,OMV.BFS,3.941,-0.448
825,OMV.BFT,3.145,0.249
826,OMV.BFU,2.078,-6.307
827,OMV.BFV,3.003,-4.763
828,OMV.BFW,-4.683,1.111
829,OMV.BFX,-8.64,-3.299
830,OMV.BFY,5.556,-0.002
831,OMV.BFZ,-0.852,5.598
832,OMV.BGA,-3.018,1.991
833,OMV.BGB,-3.905,4.359
834,OMV.BGC,-3.874,0.873
835,OMV.BGD,-5.864,-4.915
836,OMV.BGE,3.218,2.986
837,OMV.BGF,-1.604,-2.768
838,OMV.BGG,5.412,3.325
839,OMV.BGH,-6.805,3.041
840,OMV.BGI,6.79,0.203
841,OMV.BGJ,5.898,-1.129
842,OMV.BGK,-0.643,-2.171
843,OMV.BGL,5.892,3.747
844,OMV.BGM,3.734,-3.108
845,OMV.BGN,3.36,4.755
846,OMV.BGO,-8.622,-4.236
847,OMV.BGP,-4.929,-3.863
848,OMV.BGQ,-4.309,1.355
849,OMV.BGR,6.864,2.241
850,OMV.BGS,7.96,2.53
851,OMV.BGT,-1.215,0.016
852,OMV.BGU,-1.458,-5.632
853,OMV.BGV,0.771,4.875
854,OMV.BGW,3.15,-4.155
855,OMV.BGX,-4.702,4.363
856,OMV.BGY,5.437,-1.786
857,OMV.BGZ,4.115,1.534
858,OMV.BHA,5.444,3.075
859,OMV.BHB,3.594,-2.561
860,OMV.BHC,2.743,-6.001
861,OMV.BHD,-8.322,1.61
862,OMV.BHE,-0.46,0.038
863,OMV.BHF,0.341,-2.977
864,OMV.BHG,-0.682,-6.318
865,OMV.BHH,-2.139,0.323
866,OMV.BHI,-7.798,1.304
867,OMV.BHJ,-8.396,-0.894
868,OMV.BHK,-9.376,-3.332
869,OMV.BHL,-3.472,-0.711
870,OMV.BHM,1.0,4.513
871,OMV.BHN,-3.142,1.371
872,OMV.BHO,4.426,-1.658
873,OMV.BHP,1.189,-3.472
874,OMV.BHQ,-7.152,2.548
875,OMV.BHR,-5.284,-3.169
876,OMV.BHS,-5.649,1.442
877,OMV.BHT,-2.465,4.912
878,OMV.BHU,-1.85,-4.477
879,OMV.BHV,6.845,2.718
880,OMV.BHW,-3.07,1.097
881,OMV.BHX,3.84,5.401
882,OMV.BHY,4.31,0.263
883,OMV.BHZ,-3.054,2.244
884,OMV.BIA,0.879,5.506
885,OMV.BIB,-2.034,3.271
886,OMV.BIC,-5.311,-3.154
887,OMV.BID,-9.019,-0.3
888,OMV.BIE,-0.045,0.722
889,OMV.BIF,-5.25,-5.271
890,OMV.BIG,-2.299,-0.047
891,OMV.BIH,-0.729,-1.194
892,OMV.BII,-6.713,-1.179
893,OMV.BIJ,-1.739,-3.744
894,OMV.BIK,-0.764,1.141
895,OMV.BIL,4.447,4.342
896,OMV.BIM,-5.789,-3.801
897,OMV.BIN,-2.74,2.063
898,OMV.BIO,0.815,-1.864
899,OMV.BIP,4.188,5.199
900,OMV.BIQ,-2.661,-0.068
901,OMV.BIR,-6.525,0.332
902,OMV.BIS,-5.314,-1.069
903,OMV.BIT,8.186,2.397
904,OMV.BIU,-0.417,4.181
905,OMV.BIV,6.433,1.106
906,OMV.BIW,-8.959,-2.152
907,OMV.BIX,6.521,1.287
908,OMV.BIY,5.311,3.152
909,OMV.BIZ,4.52,2.225
910,OMV.BJA,1.672,0.045
911,OMV.BJB,2.474,-3.991
912,OMV.BJC,-2.771,-4.403
913,OMV.BJD,2.713,0.269
914,OMV.BJE,0.026,2.995
915,OMV.BJF,5.47,4.218
916,OMV.BJG,-0.16,5.656
917,OMV.BJH,-6.373,3.251
918,OMV.BJI,-3.145,-1.869
919,OMV.BJJ,2.668,0.991
920,OMV.BJK,1.283,-4.91
921,OMV.BJL,1.074,-6.879
922,OMV.BJM,4.738,-0.219
923,OMV.BJN,6.276,2.82
924,OMV.BJO,0.323,-3.43
925,OMV.BJP,2.462,-0.281
926,OMV.BJQ,-5.627,-2.495
927,OMV.BJR,-1.559,-4.647
928,OMV.BJS,-0.002,5.561
929,OMV.BJT,3.208,3.917
930,OMV.BJU,3.348,-4.965
931,OMV.BJV,1.017,-4.993
932,OMV.BJW,-6.252,0.404
933,OMV.BJX,1.097,3.067
934,OMV.BJY,0.659,0.774
935,OMV.BJZ,-4.201,-1.948
936,OMV.BKA,-6.61,-3.786
937,OMV.BKB,1.262,4.128
938,OMV.BKC,-6.074,-5.719
939,OMV.BKD,-0.408,6.029
940,OMV.BKE,-5.344,-4.251
941,OMV.BKF,-4.985,4.297
942,OMV.BKG,5.641,1.338
943,OMV.BKH,-0.854,4.204
944,OMV.BKI,-5.794,1.986
945,OMV.BKJ,1.1,-1.3
946,OMV.BKK,3.354,6.149
947,OMV.BKL,-0.346,0.897
948,OMV.BKM,5.814,-0.848
949,OMV.BKN,4.328,4.644
950,OMV.BKO,7.16,2.073
951,OMV.BKP,-2.413,-0.675
952,OMV.BKQ,0.139,-2.164
953,OMV.BKR,-8.786,-4.602
954,OMV.BKS,7.501,2.566
955,OMV.BKT,-3.39,-2.587
956,OMV.BKU,-1.608,-5.514
957,OMV.BKV,5.535,4.641
958,OMV.BKW,-1.343,-6.162
959,OMV.BKX,4.01,3.449
960,OMV.BKY,2.974,-5.209
961,OMV.BKZ,-1.496,-0.064
962,OMV.BLA,-6.453,1.214
963,OMV.BLB,-5.674,-4.562
964,OMV.BLC,-2.858,3.52
965,OMV.BLD,-5.681,-5.947
966,OMV.BLE,-2.908,1.003
967,OMV.BLF,-2.531,4.49
968,OMV.BLG,2.368,6.029
969,OMV.BLH,-6.522,3.109
970,OMV.BLI,-5.939,3.0
971,OMV.BLJ,3.301,1.316
972,OMV.BLK,3.114,-0.659
973,OMV.BLL,3.339,3.377
974,OMV.BLM,0.97,2.909
975,OMV.BLN,-5.489,-4.161
976,OMV.BLO,2.292,-0.411
977,OMV.BLP,-0.698,1.566
978,OMV.BLQ,-0.485,-3.652
979,OMV.BLR,-8.123,-4.757
980,OMV.BLS,4.085,5.027
981,OMV.BLT,5.624,0.893
982,OMV.BLU,-2.877,-5.267
983,OMV.BLV,2.773,-5.555
984,OMV.BLW,3.125,5.818
985,OMV.BLX,-2.038,4.894
986,OMV.BLY,-5.443,0.165
987,OMV.BLZ,-8.225,1.784
988,OMV.BMA,-6.631,-2.385
989,OMV.BMB,5.785,0.791
990,OMV.BMC,0.844,-2.807
991,OMV.BMD,4.359,4.172
992,OMV.BME,-3.228,2.81
993,OMV.BMF,-6.904,-2.233
994,OMV.BMG,-8.255,-0.745
995,OMV.BMH,-0.632,-1.02
996,OMV.BMI,-9.567,-2.527
997,OMV.BMJ,4.199,-1.525
998,OMV.BMK,-0.959,1.954
999,OMV.BML,-1.584,-0.695
1000,OMV.BMM,-9.654,-2.939
1001,OMV.BMN,-7.215,-3.665
1002,OMV.BMO,5.719,-1.024
1003,OMV.BMP,6.289,1.654
1004,OMV.BMQ,2.188,-4.519
1005,OMV.BMR,0.848,2.285
1006,OMV.BMS,-7.086,-1.425
1007,OMV.BMT,0.295,-4.108
1008,OMV.BMU,1.081,-4.799
1009,OMV.BMV,-4.664,0.869
1010,OMV.BMW,-5.429,3.405
1011,OMV.BMX,3.872,3.531
1012,OMV.BMY,-8.692,-0.953
1013,OMV.BMZ,0.227,0.795
1014,OMV.BNA,3.056,0.764
1015,OMV.BNB,5.216,0.197
1016,OMV.BNC,-8.25,-4.219
1017,OMV.BND,7.71,2.908
1018,OMV.BNE,4.416,3.208
1019,OMV.BNF,-7.647,-0.402
1020,OMV.BNG,4.848,3.886
1021,OMV.BNH,-0.721,-2.357
1022,OMV.BNI,-5.526,3.916
1023,OMV.BNJ,5.876,4.155
1024,OMV.BNK,1.968,-1.38
1025,OMV.BNL,3.177,-2.086
1026,OMV.BNM,5.077,2.362
1027,OMV.BNN,2.34,-6.228
1028,OMV.BNO,3.809,1.01
1029,OMV.BNP,-3.454,5.256
1030,OMV.BNQ,-5.654,0.981
1031,OMV.BNR,2.185,0.578
1032,OMV.BNS,2.722,5.128
1033,OMV.BNT,-0.004,-5.093
1034,OMV.BNU,4.838,-2.362
1035,OMV.BNV,-4.489,1.924
1036,OMV.BNW,-8.272,-0.969
1037,OMV.BNX,0.159,-0.092
1038,OMV.BNY,-6.259,3.186
1039,OMV.BNZ,-2.926,-0.608
1040,OMV.BOA,5.88,1.893
1041,OMV.BOB,-6.267,2.728
1042,OMV.BOC,1.857,-3.167
1043,OMV.BOD,-4.041,2.589
1044,OMV.BOE,-4.824,3.809
1045,OMV.BOF,5.213,1.591
1046,OMV.BOG,0.341,-5.755
1047,OMV.BOH,-2.725,0.896
1048,OMV.BOI,1.636,2.057
1049,OMV.BOJ,-8.611,-2.62
1050,OMV.BOK,-1.651,-7.145
1051,OMV.BOL,-3.546,3.458
1052,OMV.BOM,6.574,0.792
1053,OMV.BON,-4.48,-1.322
1054,OMV.BOO,-1.579,-6.08
1055,OMV.BOP,1.725,5.712
1056,OMV.BOQ,7.787,2.632
1057,OMV.BOR,2.221,-0.601
1058,OMV.BOS,-3.545,-4.878
1059,OMV.BOT,-7.947,0.233
1060,OMV.BOU,-2.812,3.261
1061,OMV.BOV,1.433,-3.383
1062,OMV.BOW,4.576,0.11
1063,OMV.BOX,3.74,-4.268
1064,OMV.BOY,-6.65,1.33
1065,OMV.BOZ,8.031,2.256
1066,OMV.BPA,3.657,5.504
1067,OMV.BPB,-2.954,1.72
1068,OMV.BPC,6.416,3.42
1069,OMV.BPD,-5.399,-4.028
1070,OMV.BPE,-2.753,0.45
1071,OMV.BPF,-7.893,-0.029
1072,OMV.BPG,2.125,-5.871
1073,OMV.BPH,-7.637,1.209
1074,OMV.BPI,-0.078,-2.269
1075,OMV.BPJ,6.881,3.856
1076,OMV.BPK,6.18,-0.367
1077,OMV.BPL,2.777,-3.936
1078,OMV.BPM,0.416,2.309
1079,OMV.BPN,-3.658,-3.19
1080,OMV.BPO,0.525,3.629
1081,OMV.BPP,-4.624,-3.554
1082,OMV.BPQ,-1.525,-6.979
1083,OMV.BPR,1.334,-2.167
1084,OMV.BPS,-3.06,3.175
1085,OMV.BPT,-4.928,1.485
1086,OMV.BPU,-2.314,3.898
1087,OMV.BPV,-2.829,4.661
1088,OMV.BPW,-4.134,0.791
1089,OMV.BPX,4.442,0.88
1090,OMV.BPY,-5.118,-6.506
1091,OMV.BPZ,3.254,-3.52
1092,OMV.BQA,-6.993,2.688
1093,OMV.BQB,2.336,-2.29
1094,OMV.BQC,3.163,-0.92
1095,OMV.BQD,-3.709,3.564
1096,OMV.BQE,7.608,2.735
1097,OMV.BQF,0.542,-5.41
1098,OMV.BQG,0.57,-1.026
1099,OMV.BQH,0.677,2.385
1100,OMV.BQI,-5.332,-4.762
1101,OMV.BQJ,6.37,1.375
1102,OMV.BQK,-8.094,-0.376
1103,OMV.BQL,-1.509,4.585
1104,OMV.BQM,-3.099,-4.907
1105,OMV.BQN,0.827,6.002
1106,OMV.BQO,-0.33,3.898
1107,OMV.BQP,-0.423,2.796
1108,OMV.BQQ,-1.32,-5.944
1109,OMV.BQR,-9.493,-3.265
1110,OMV.BQS,4.216,0.086
1111,OMV.BQT,-3.068,5.263
1112,OMV.BQU,4.976,-1.979
1113,OMV.BQV,5.932,4.642
1114,OMV.BQW,-4.158,4.282
1115,OMV.BQX,-3.617,0.953
1116,OMV.BQY,0.596,-1.504
1117,OMV.BQZ,-5.836,2.708
1118,OMV.BRA,-8.046,0.752
1119,OMV.BRB,-2.815,-1.598
1120,OMV.BRC,0.911,-2.151
1121,OMV.BRD,-1.789,0.118
1122,OMV.BRE,-8.161,-3.345
1123,OMV.BRF,0.873,-1.435
1124,OMV.BRG,-7.848,-3.528
1125,OMV.BRH,-5.661,-0.171
1126,OMV.BRI,2.355,-5.08
1127,OMV.BRJ,2.035,2.287
1128,OMV.BRK,-8.951,-3.58
1129,OMV.BRL,-3.646,3.285
1130,OMV.BRM,0.054,-1.883
1131,OMV.BRN,-2.412,0.713
1132,OMV.BRO,3.168,3.477
1133,OMV.BRP,-1.559,3.688
1134,OMV.BRQ,-6.563,1.048
1135,OMV.BRR,-1.427,5.93
1136,OMV.BRS,3.892,4.685
1137,OMV.BRT,0.542,1.306
1138,OMV.BRU,1.093,-5.269
1139,OMV.BRV,-1.743,-6.16
1140,OMV.BRW,3.602,3.921
1141,OMV.BRX,-2.092,-4.336
1142,OMV.BRY,-1.753,-6.617
1143,OMV.BRZ,-6.541,1.498
1144,OMV.BSA,-2.12,-3.625
1145,OMV.BSB,3.758,-3.351
1146,OMV.BSC,3.54,-3.896
1147,OMV.BSD,-0.767,-4.877
1148,OMV.BSE,-5.135,-0.015
1149,OMV.BSF,-1.386,0.809
1150,OMV.BSG,-1.861,0.392
1151,OMV.BSH,-2.724,-5.589
1152,OMV.BSI,0.964,-1.948
1153,OMV.BSJ,-2.04,-5.061
1154,OMV.BSK,7.111,0.71
1155,OMV.BSL,-3.055,-2.847
1156,OMV.BSM,-4.381,1.629
1157,OMV.BSN,-0.163,-3.841
1158,OMV.BSO,-5.503,-3.08
1159,OMV.BSP,-4.082,4.232
1160,OMV.BSQ,2.793,0.453
1161,OMV.BSR,5.811,-1.541
1162,OMV.BSS,-1.27,0.973
1163,OMV.BST,-5.34,-4.525
1164,OMV.BSU,-1.198,1.164
1165,OMV.BSV,-4.193,0.362
1166,OMV.BSW,-0.69,-7.006
1167,OMV.BSX,-1.908,4.588
1168,OMV.BSY,-1.716,-5.663
1169,OMV.BSZ,1.198,2.544
1170,OMV.BTA,0.961,-2.643
1171,OMV.BTB,5.901,2.576
1172,OMV.BTC,-6.105,-2.002
1173,OMV.BTD,5.527,5.11
1174,OMV.BTE,-1.573,-6.028
1175,OMV.BTF,-8.585,-0.784
1176,OMV.BTG,-7.258,-4.103
1177,OMV.BTH,-2.209,0.595
1178,OMV.BTI,-5.941,-6.258
1179,OMV.BTJ,0.701,-4.345
1180,OMV.BTK,-1.214,-2.072
1181,OMV.BTL,3.841,-3.632
1182,OMV.BTM,-3.794,-0.605
1183,OMV.BTN,4.367,1.62
1184,OMV.BTO,-4.193,-2.416
1185,OMV.BTP,-5.336,3.575
1186,OMV.BTQ,-1.347,0.093
1187,OMV.BTR,-3.701,-2.703
1188,OMV.BTS,2.544,-0.79
1189,OMV.BTT,2.35,4.423
1190,OMV.BTU,-0.724,-5.597
1191,OMV.BTV,-0.882,-0.408
1192,OMV.BTW,1.363,1.058
1193,OMV.BTX,-0.579,2.192
1194,OMV.BTY,-1.244,5.819
1195,OMV.BTZ,-0.9,5.389
1196,OMV.BUA,-5.028,1.312
1197,OMV.BUB,3.264,3.19
1198,OMV.BUC,-5.387,-2.878
1199,OMV.BUD,-4.529,0.1
1200,OMV.BUE,-0.559,-1.988
1201,OMV.BUF,1.447,-2.002
1202,OMV.BUG,0.76,5.579
1203,OMV.BUH,4.801,5.073
1204,OMV.BUI,-5.089,2.052
1205,OMV.BUJ,0.202,5.903
1206,OMV.BUK,0.229,5.193
1207,OMV.BUL,5.582,-1.87
1208,OMV.BUM,1.734,1.068
1209,OMV.BUN,-8.156,1.973
1210,OMV.BUO,3.318,-3.095
1211,OMV.BUP,0.986,0.122
1212,OMV.BUQ,5.509,0.722
1213,OMV.BUR,-4.638,4.075
1214,OMV.BUS,-1.933,-4.891
1215,OMV.BUT,-0.897,-2.718
1216,OMV.BUU,-5.823,-1.235
1217,OMV.BUV,1.734,4.083
1218,OMV.BUW,-2.636,1.076
1219,OMV.BUX,-5.199,3.016
1220,OMV.BUY,4.554,-1.733
1221,OMV.BUZ,-0.782,-3.711
1222,OMV.BVA,-5.751,1.263
1223,OMV.BVB,3.151,1.867
1224,OMV.BVC,-2.084,-3.975
1225,OMV.BVD,-2.569,-4.752
1226,OMV.BVE,2.25,-6.408
1227,OMV.BVF,2.239,4.252
1228,OMV.BVG,7.198,2.525
1229,OMV.BVH,-3.63,0.498
1230,OMV.BVI,-1.939,3.216
1231,OMV.BVJ,-6.18,0.131
1232,OMV.BVK,2.307,-3.18
1233,OMV.BVL,-0.268,-5.632
1234,OMV.BVM,6.666,4.677
1235,OMV.BVN,-2.867,-1.337
1236,OMV.BVO,-6.115,2.639
1237,OMV.BVP,-5.157,-2.086
1238,OMV.BVQ,-8.755,-2.551
1239,OMV.BVR,-8.455,-3.637
1240,OMV.BVS,-7.728,-3.598
1241,OMV.BVT,-2.553,-3.139
1242,OMV.BVU,5.159,1.156
1243,OMV.BVV,-2.925,5.411
1244,OMV.BVW,-3.258,2.364
1245,OMV.BVX,-2.127,-4.778
1246,OMV.BVY,-4.777,-5.775
1247,OMV.BVZ,0.138,-0.543
1248,OMV.BWA,-6.618,-1.019
1249,OMV.BWB,-6.021,1.194
1250,OMV.BWC,-4.179,1.975
1251,OMV.BWD,0.43,3.917
1252,OMV.BWE,6.124,-0.566
1253,OMV.BWF,-5.698,-5.012
1254,OMV.BWG,-1.856,0.844
1255,OMV.BWH,0.998,6.132
1256,OMV.BWI,-3.842,0.158
1257,OMV.BWJ,-6.783,-1.37
1258,OMV.BWK,-0.595,-4.978
1259,OMV.BWL,-2.926,-5.006
1260,OMV.BWM,-3.504,-3.978
1261,OMV.BWN,-3.645,-3.893
1262,OMV.BWO,-3.576,-6.48
1263,OMV.BWP,-7.075,2.966
1264,OMV.BWQ,6.349,0.229
1265,OMV.BWR,5.852,4.457
1266,OMV.BWS,-5.18,-5.546
1267,OMV.BWT,-0.619,2.447
1268,OMV.BWU,4.908,4.777
1269,OMV.BWV,-1.284,-4.576
1270,OMV.BWW,-5.32,1.251
1271,OMV.BWX,5.439,0.993
1272,OMV.BWY,-2.451,-1.811
1273,OMV.BWZ,5.447,-1.328
1274,OMV.BXA,-2.954,4.732
1275,OMV.BXB,3.234,-3.972
1276,OMV.BXC,-3.319,-3.62
1277,OMV.BXD,1.549,-6.461
1278,OMV.BXE,1.21,-6.263
1279,OMV.BXF,-3.374,-1.736
1280,OMV.BXG,6.47,3.863
1281,OMV.BXH,3.957,3.248
1282,OMV.BXI,-0.581,4.094
1283,OMV.BXJ,-8.182,1.064
1284,OMV.BXK,-5.962,-0.688
1285,OMV.BXL,-4.381,-3.95
1286,OMV.BXM,-6.082,3.084
1287,OMV.BXN,1.783,-0.345
1288,OMV.BXO,-4.725,-3.726
1289,OMV.BXP,-7.402,-3.556
1290,OMV.BXQ,-3.959,2.543
1291,OMV.BXR,-6.308,-3.267
1292,OMV.BXS,0.448,4.37
1293,OMV.BXT,-4.71,-0.494
1294,OMV.BXU,-6.735,2.305
1295,OMV.BXV,-3.402,2.911
1296,OMV.BXW,0.009,-1.625
1297,OMV.BXX,2.85,4.128
1298,OMV.BXY,0.549,0.144
1299,OMV.BXZ,5.425,-0.157
1300,OMV.BYA,-2.709,-5.827
1301,OMV.BYB,-7.251,-3.181
1302,OMV.BYC,-6.043,3.523
1303,OMV.BYD,-8.734,-2.343
1304,OMV.BYE,7.021,0.531
1305,OMV.BYF,-1.616,0.018
1306,OMV.BYG,-2.899,3.775
1307,OMV.BYH,-8.999,-1.007
1308,OMV.BYI,-6.311,-2.802
1309,OMV.BYJ,0.38,-3.694
1310,OMV.BYK,-3.04,-5.403
1311,OMV.BYL,-5.004,1.751
1312,OMV.BYM,2.408,-2.563
1313,OMV.BYN,-2.809,-0.445
1314,OMV.BYO,-2.739,-0.717
1315,OMV.BYP,4.796,-1.642
1316,OMV.BYQ,-4.337,-5.112
1317,OMV.BYR,2.846,-2.612
1318,OMV.BYS,-0.655,-0.312
1319,OMV.BYT,2.432,2.978
1320,OMV.BYU,-1.424,-3.567
1321,OMV.BYV,-6.981,-1.929
1322,OMV.BYW,-3.762,4.278
1323,OMV.BYX,-4.028,0.266
1324,OMV.BYY,0.428,1.14
1325,OMV.BYZ,-7.908,1.137
1326,OMV.BZA,2.222,1.946
1327,OMV.BZB,6.404,-0.035
1328,OMV.BZC,-3.173,-0.695
1329,OMV.BZD,2.402,-6.04
1330,OMV.BZE,0.377,0.244
1331,OMV.BZF,-3.891,3.659
1332,OMV.BZG,1.234,-0.256
1333,OMV.BZH,-6.78,-3.918
1334,OMV.BZI,2.801,-5.109
1335,OMV.BZJ,3.224,-5.125
1336,OMV.BZK,-3.301,-0.389
1337,OMV.BZL,-4.625,2.003
1338,OMV.BZM,-7.244,-2.49
1339,OMV.BZN,-3.106,-0.967
1340,OMV.BZO,-3.496,1.577
1341,OMV.BZP,-4.274,-5.673
1342,OMV.BZQ,0.412,-6.029
1343,OMV.BZR,-9.807,-3.082
1344,OMV.BZS,4.881,0.393
1345,OMV.BZT,5.52,3.262
1346,OMV.BZU,-2.366,-2.323
1347,OMV.BZV,-5.767,3.594
1348,OMV.BZW,1.673,-5.146
1349,OMV.BZX,5.167,-1.396
1350,OMV.BZY,-8.094,-0.376
1351,OMV.BZZ,3.51,0.962
1352,OMV.CAA,-8.975,-2.871
1353,OMV.CAB,-6.223,0.85
1354,OMV.CAC,-7.164,-2.999
1355,OMV.CAD,-6.842,0.979
1356,OMV.CAE,1.65,-6.288
1357,OMV.CAF,5.124,3.493
1358,OMV.CAG,-0.941,0.778
1359,OMV.CAH,1.54,3.038
1360,OMV.CAI,0.658,-5.245
1361,OMV.CAJ,-1.42,4.301
1362,OMV.CAK,1.119,0.737
1363,OMV.CAL,2.414,-1.409
1364,OMV.CAM,5.081,-1.809
1365,OMV.CAN,0.818,0.681
1366,OMV.CAO,-2.062,0.046
1367,OMV.CAP,1.859,1.232
1368,OMV.CAQ,-1.833,-0.319
1369,OMV.CAR,2.419,-4.689
1370,OMV.CAS,-6.509,-3.613
1371,OMV.CAT,6.573,2.182
1372,OMV.CAU,5.007,-2.461
1373,OMV.CAV,3.094,3.987
1374,OMV.CAW,4.177,2.657
1375,OMV.CAX,0.696,-2.489
1376,OMV.CAY,3.946,1.634
1377,OMV.CAZ,4.699,4.456
1378,OMV.CBA,1.238,-3.038
1379,OMV.CBB,2.746,-4.379
1380,OMV.CBC,-2.246,2.693
1381,OMV.CBD,-4.499,-4.807
1382,OMV.CBE,3.009,-3.378
1383,OMV.CBF,-0.667,-4.704
1384,OMV.CBG,-0.868,-2.271
1385,OMV.CBH,-2.303,-3.053
1386,OMV.CBI,-4.783,4.181
1387,OMV.CBJ,-0.71,0.415
1388,OMV.CBK,-5.008,-6.575
1389,OMV.CBL,1.896,-1.106
1390,OMV.CBM,-2.438,4.202
1391,OMV.CBN,-1.072,-2.152
1392,OMV.CBO,1.11,3.523
1393,OMV.CBP,-1.701,4.235
1394,OMV.CBQ,5.509,-2.059
1395,OMV.CBR,-3.709,5.174
1396,OMV.CBS,-7.334,-4.521
1397,OMV.CBT,-2.109,-0.853
1398,OMV.CBU,-8.339,0.0
1399,OMV.CBV,0.947,3.616
1400,OMV.CBW,4.581,-0.127
1401,OMV.CBX,-2.271,-0.295
1402,OMV.CBY,-8.935,-2.294
1403,OMV.CBZ,0.56,-4.262
1404,OMV.CCA,-0.234,1.99
1405,OMV.CCB,6.014,1.583
1406,OMV.CCC,-0.263,1.544
1407,OMV.CCD,3.781,4.502
1408,OMV.CCE,-1.802,1.283
1409,OMV.CCF,2.409,4.617
1410,OMV.CCG,-0.782,-6.489
1411,OMV.CCH,-8.978,-1.944
1412,OMV.CCI,-3.82,3.386
1413,OMV.CCJ,-5.431,-2.158
1414,OMV.CCK,-6.357,1.855
1415,OMV.CCL,1.367,-2.418
1416,OMV.CCM,1.119,0.737
1417,OMV.CCN,-0.55,4.259
1418,OMV.CCO,-4.855,-1.567
1419,OMV.CCP,4.018,-1.88
1420,OMV.CCQ,5.006,-2.692
1421,OMV.CCR,-3.775,-2.891
1422,OMV.CCS,3.646,-0.044
1423,OMV.CCT,4.663,-3.187
1424,OMV.CCU,-6.391,-5.712
1425,OMV.CCV,-0.119,0.996
1426,OMV.CCW,4.261,2.608
1427,OMV.CCX,2.417,4.148
1428,OMV.CCY,-3.119,5.295
1429,OMV.CCZ,-3.026,-5.179
1430,OMV.CDA,-4.498,-2.941
1431,OMV.CDB,-6.936,2.889
1432,OMV.CDC,3.064,4.464
1433,OMV.CDD,-0.88,-4.816
1434,OMV.CDE,-6.497,0.779
